"","State","Lake.Name","Species.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"36","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",108.71587,"ng/g","ppb"
"37","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Total PCBs",173.86821,"ng/g","ppb"
"38","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",41.13595,"ng/g","ppb"
"39","MI","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",124.12553,"ng/g","ppb"
"40","MI","Lake Michigan","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Total PCBs",354.21661,"ng/g","ppb"
"41","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",158.14383,"ng/g","ppb"
"42","MI","Lake Michigan","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",42.67406,"ng/g","ppb"
"43","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Total PCBs",250.5735,"ng/g","ppb"
"44","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Total PCBs",116.25228,"ng/g","ppb"
"45","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",680.65524,"ng/g","ppb"
"46","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",139.81526,"ng/g","ppb"
"47","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",659.05993,"ng/g","ppb"
"48","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",710.4304,"ng/g","ppb"
"49","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Total PCBs",240.18436,"ng/g","ppb"
"50","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",249.95474,"ng/g","ppb"
"51","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",636.42359,"ng/g","ppb"
"52","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",148.76324,"ng/g","ppb"
"53","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",327.07835,"ng/g","ppb"
"54","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",286.95076,"ng/g","ppb"
"55","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",190.80894,"ng/g","ppb"
"56","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",828.92878,"ng/g","ppb"
"57","MI","Lake Huron","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Total PCBs",1454.01361,"ng/g","ppb"
"58","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",30.92435,"ng/g","ppb"
"59","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",191.73714,"ng/g","ppb"
"60","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",456.7876,"ng/g","ppb"
"61","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",73.17686,"ng/g","ppb"
"62","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",834.90492,"ng/g","ppb"
"63","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",375.54831,"ng/g","ppb"
"64","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",60.90916,"ng/g","ppb"
"65","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",179.52279,"ng/g","ppb"
"66","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",705.08204,"ng/g","ppb"
"67","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",499.85758,"ng/g","ppb"
"68","MI","Lake Huron","Salmo trutta","Brown trout","Salmonidae","P","Total PCBs",684.01698,"ng/g","ppb"
"69","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",10.4066,"ng/g","ppb"
"70","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",128.12723,"ng/g","ppb"
"71","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",106.21169,"ng/g","ppb"
"72","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",46.80365,"ng/g","ppb"
"73","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",109.96095,"ng/g","ppb"
"74","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",111.69525,"ng/g","ppb"
"75","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",292.78254,"ng/g","ppb"
"76","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",928.59018,"ng/g","ppb"
"77","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Total PCBs",551.65946,"ng/g","ppb"
"78","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Total PCBs",706.04314,"ng/g","ppb"
"79","MI","Lake Erie","Morone americana","White perch","Moronidae","P","Total PCBs",685.90506,"ng/g","ppb"
"80","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",169.17799,"ng/g","ppb"
"81","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",51.28817,"ng/g","ppb"
"82","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",96.56534,"ng/g","ppb"
"83","MN","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",143.71389,"ng/g","ppb"
"84","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",53.06948,"ng/g","ppb"
"85","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",49.11689,"ng/g","ppb"
"86","MN","Lake Superior","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Total PCBs",22.74616,"ng/g","ppb"
"87","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",99.23502,"ng/g","ppb"
"88","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",72.73225,"ng/g","ppb"
"89","NY","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",44.21767,"ng/g","ppb"
"90","NY","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",129.26138,"ng/g","ppb"
"91","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",75.61758,"ng/g","ppb"
"92","NY","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",22.78931,"ng/g","ppb"
"93","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",110.06445,"ng/g","ppb"
"94","NY","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",176.74998,"ng/g","ppb"
"95","NY","Lake Ontario","Esox niger","Chain pickerel","Esocidae","P","Total PCBs",166.0478,"ng/g","ppb"
"96","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",123.30551,"ng/g","ppb"
"97","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",1774.37891,"ng/g","ppb"
"98","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",416.86604,"ng/g","ppb"
"99","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Total PCBs",602.11122,"ng/g","ppb"
"100","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",150.09317,"ng/g","ppb"
"101","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",221.49754,"ng/g","ppb"
"102","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",702.73666,"ng/g","ppb"
"103","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",839.21584,"ng/g","ppb"
"104","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",131.97586,"ng/g","ppb"
"105","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",608.89314,"ng/g","ppb"
