"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"61","MI","Lake Huron","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",6.23,"ng/g","ppb"
"62","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",28.05,"ng/g","ppb"
"63","MI","Lake Huron","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",112.21,"ng/g","ppb"
"64","MI","Lake Huron","Perca flavescens","Yellow perch","Percidae","","Total PCBs",12.61,"ng/g","ppb"
"65","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Total PCBs",133.11,"ng/g","ppb"
"66","MI","Lake Huron","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",3.72,"ng/g","ppb"
"67","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",31.89,"ng/g","ppb"
"68","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",602.28,"ng/g","ppb"
"69","MI","Lake Huron","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",18.42,"ng/g","ppb"
"70","MI","Lake Huron","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Total PCBs",610.44,"ng/g","ppb"
"71","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",36,"ng/g","ppb"
"72","MI","Lake Huron","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",4.35,"ng/g","ppb"
"73","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",319.11,"ng/g","ppb"
"74","MI","Lake Erie","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Total PCBs",980.87,"ng/g","ppb"
"75","MN","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",26.3,"ng/g","ppb"
"76","MN","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",21.73,"ng/g","ppb"
"77","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",69.86,"ng/g","ppb"
"78","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",38.15,"ng/g","ppb"
"79","MN","Lake Superior","Sander vitreus","Walleye","Percidae","P","Total PCBs",35.43,"ng/g","ppb"
"80","MN","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",6.96,"ng/g","ppb"
"81","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",118.59,"ng/g","ppb"
"82","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",251.08,"ng/g","ppb"
"83","NY","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",45.09,"ng/g","ppb"
"84","NY","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",520.89,"ng/g","ppb"
"85","NY","Lake Ontario","Morone americana","White perch","Moronidae","P","Total PCBs",632.22,"ng/g","ppb"
"86","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Total PCBs",117.65,"ng/g","ppb"
"87","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",175.83,"ng/g","ppb"
"88","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",951.6,"ng/g","ppb"
"89","NY","Lake Ontario","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Total PCBs",409.09,"ng/g","ppb"
"90","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",209.28,"ng/g","ppb"
"91","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",362.73,"ng/g","ppb"
"92","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",261.39,"ng/g","ppb"
"93","NY","Lake Ontario","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Total PCBs",347.16,"ng/g","ppb"
"94","NY","Lake Ontario","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Total PCBs",322.83,"ng/g","ppb"
"95","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",334.99,"ng/g","ppb"
"96","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",596.57,"ng/g","ppb"
"97","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",1167.94,"ng/g","ppb"
"98","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","","Total PCBs",160.34,"ng/g","ppb"
"99","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",242.07,"ng/g","ppb"
"100","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",197.62,"ng/g","ppb"
"101","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",82.41,"ng/g","ppb"
"102","NY","Lake Erie","Morone chrysops","White bass","Moronidae","P","Total PCBs",98.37,"ng/g","ppb"
"103","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",40.78,"ng/g","ppb"
"104","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",157.72,"ng/g","ppb"
"105","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",355.71,"ng/g","ppb"
"106","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",481.47,"ng/g","ppb"
"107","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",1113.46,"ng/g","ppb"
"108","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Total PCBs",194.06,"ng/g","ppb"
"109","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",192.67,"ng/g","ppb"
"110","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",644.71,"ng/g","ppb"
"111","NY","Lake Ontario","Salmo trutta","Brown trout","Salmonidae","P","Total PCBs",291.86,"ng/g","ppb"
"112","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",22.92,"ng/g","ppb"
"113","NY","Lake Ontario","Salmo trutta","Brown trout","Salmonidae","P","Total PCBs",870.59,"ng/g","ppb"
"114","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",495.99,"ng/g","ppb"
"115","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",283.7,"ng/g","ppb"
"116","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",221.43,"ng/g","ppb"
"117","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",318.25,"ng/g","ppb"
"118","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",117.91,"ng/g","ppb"
"119","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",841.66,"ng/g","ppb"
"120","NY","Lake Ontario","Esox lucius","Northern pike","Esocidae","P","Total PCBs",52.49,"ng/g","ppb"
"121","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",611.95,"ng/g","ppb"
"122","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",32.93,"ng/g","ppb"
"123","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",9.55,"ng/g","ppb"
"124","OH","Lake Erie","Morone chrysops","White bass","Moronidae","P","Total PCBs",184.65,"ng/g","ppb"
"125","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",19.43,"ng/g","ppb"
"126","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",29.31,"ng/g","ppb"
"127","OH","Lake Erie","Morone americana","White perch","Moronidae","P","Total PCBs",137.97,"ng/g","ppb"
"128","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",12.87,"ng/g","ppb"
"129","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",576.77,"ng/g","ppb"
"130","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",14.86,"ng/g","ppb"
"131","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",205,"ng/g","ppb"
"132","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",11.86,"ng/g","ppb"
"133","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",10.62,"ng/g","ppb"
"134","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",32.88,"ng/g","ppb"
"135","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",427.98,"ng/g","ppb"
"136","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",15.16,"ng/g","ppb"
"137","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",7.23,"ng/g","ppb"
"138","OH","Lake Erie","Morone chrysops","White bass","Moronidae","P","Total PCBs",160.37,"ng/g","ppb"
"139","PA","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",77.04,"ng/g","ppb"
"140","PA","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",187.24,"ng/g","ppb"
"141","WI","Lake Michigan","Lota lota","Burbot","Gadidae","BD","Total PCBs",17.37,"ng/g","ppb"
"142","WI","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","Total PCBs",419.33,"ng/g","ppb"
"143","WI","Lake Michigan","Lota lota","Burbot","Gadidae","BD","Total PCBs",9.15,"ng/g","ppb"
"144","WI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Total PCBs",379.7,"ng/g","ppb"
"145","WI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",32.74,"ng/g","ppb"
"146","WI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",9.42,"ng/g","ppb"
"147","WI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Total PCBs",13.73,"ng/g","ppb"
"148","WI","Lake Superior","Salmo trutta","Brown trout","Salmonidae","P","Total PCBs",50.46,"ng/g","ppb"
"149","WI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",64.3,"ng/g","ppb"
"150","WI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",8.4,"ng/g","ppb"
"151","WI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",166.54,"ng/g","ppb"
"152","WI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Total PCBs",476.78,"ng/g","ppb"
