"","State","Lake.Name","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2","Year"
"119","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",452,"ng/g","ppb",2010
"120","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",376,"ng/g","ppb",2010
"121","NY","Lake Ontario","Salmo trutta","Brown trout","Salmonidae","P","Mercury",79.1,"ng/g","ppb",2010
"122","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",109,"ng/g","ppb",2010
"123","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",169,"ng/g","ppb",2010
"124","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Mercury",956,"ng/g","ppb",2010
"125","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",343,"ng/g","ppb",2010
"126","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",299,"ng/g","ppb",2010
"127","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",140,"ng/g","ppb",2010
"128","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",143,"ng/g","ppb",2010
"129","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",206,"ng/g","ppb",2010
"130","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",111,"ng/g","ppb",2010
"131","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",58,"ng/g","ppb",2010
"132","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",58.5,"ng/g","ppb",2010
"133","OH","Lake Erie","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Mercury",34.2,"ng/g","ppb",2010
"134","OH","Lake Erie","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Mercury",53.8,"ng/g","ppb",2010
"135","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",236,"ng/g","ppb",2010
"136","OH","Lake Erie","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Mercury",30.9,"ng/g","ppb",2010
