"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Chemical","Amount","Units.1","Units.2"
"169","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFDoA",0.994,"ng/g","ppb"
"170","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFTrDA",0.926,"ng/g","ppb"
"171","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFTeDA",0.48,"ng/g","ppb"
"172","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFBS",NA,"ng/g","ppb"
"173","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFPeS",NA,"ng/g","ppb"
"174","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFHxS",NA,"ng/g","ppb"
"175","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFHpS",0.106,"ng/g","ppb"
"176","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFOS",41.2,"ng/g","ppb"
"177","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFNS",NA,"ng/g","ppb"
"178","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFDS",0.798,"ng/g","ppb"
"179","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFDoS",NA,"ng/g","ppb"
"180","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","4:2 FTS",NA,"ng/g","ppb"
"181","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","6:2 FTS",NA,"ng/g","ppb"
"182","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","8:2 FTS",NA,"ng/g","ppb"
"183","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFOSA",NA,"ng/g","ppb"
"184","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","N-MeFOSA",NA,"ng/g","ppb"
"185","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","N-EtFOSA",NA,"ng/g","ppb"
"186","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","MeFOSAA",0.107,"ng/g","ppb"
"187","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","EtFOSAA",0.197,"ng/g","ppb"
"188","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","N-MeFOSE",NA,"ng/g","ppb"
"189","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","N-EtFOSE",NA,"ng/g","ppb"
"190","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","HFPO-DA",NA,"ng/g","ppb"
"191","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","ADONA",NA,"ng/g","ppb"
"192","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","9Cl-PF3ONS",NA,"ng/g","ppb"
"193","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","11Cl-PF3OUdS",NA,"ng/g","ppb"
"194","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","3:3 FTCA",NA,"ng/g","ppb"
"195","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","5:3 FTCA",2.63,"ng/g","ppb"
"196","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","7:3 FTCA",4.85,"ng/g","ppb"
"197","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFEESA",NA,"ng/g","ppb"
"198","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFMPA",NA,"ng/g","ppb"
"199","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFMBA",NA,"ng/g","ppb"
"200","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","NFDHA",NA,"ng/g","ppb"
"201","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFBA",NA,"ng/g","ppb"
"202","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFPeA",NA,"ng/g","ppb"
"203","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFHxA",NA,"ng/g","ppb"
"204","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFHpA",NA,"ng/g","ppb"
"205","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFOA",NA,"ng/g","ppb"
"206","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFNA",0.165,"ng/g","ppb"
"207","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFDA",0.672,"ng/g","ppb"
"208","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFUnA",0.371,"ng/g","ppb"
"209","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFDoA",0.294,"ng/g","ppb"
"210","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFTrDA",NA,"ng/g","ppb"
"211","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFTeDA",0.187,"ng/g","ppb"
"212","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFBS",NA,"ng/g","ppb"
"213","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFPeS",NA,"ng/g","ppb"
"214","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFHxS",NA,"ng/g","ppb"
"215","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFHpS",NA,"ng/g","ppb"
"216","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFOS",8.25,"ng/g","ppb"
"217","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFNS",NA,"ng/g","ppb"
"218","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFDS",0.233,"ng/g","ppb"
"219","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","PFDoS",NA,"ng/g","ppb"
"220","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","4:2 FTS",NA,"ng/g","ppb"
