"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"26","MI","Lake Michigan","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",62.7,"ng/g","ppb"
"27","MI","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Mercury",37.6,"ng/g","ppb"
"28","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",120,"ng/g","ppb"
"29","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",38.5,"ng/g","ppb"
"30","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",47.9,"ng/g","ppb"
"31","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",81,"ng/g","ppb"
"32","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",26.5,"ng/g","ppb"
"33","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",44,"ng/g","ppb"
"34","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",61.5,"ng/g","ppb"
"35","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",196,"ng/g","ppb"
"36","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",51.6,"ng/g","ppb"
"37","MI","Lake Superior","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",144,"ng/g","ppb"
"38","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",118,"ng/g","ppb"
"39","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",112,"ng/g","ppb"
"40","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",28.7,"ng/g","ppb"
"41","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",131,"ng/g","ppb"
"42","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",49.4,"ng/g","ppb"
"43","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",88.7,"ng/g","ppb"
"44","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",54,"ng/g","ppb"
"45","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",194,"ng/g","ppb"
"46","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",132,"ng/g","ppb"
"47","MI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",49.2,"ng/g","ppb"
"48","MI","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Mercury",87.3,"ng/g","ppb"
"49","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",148,"ng/g","ppb"
"50","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Mercury",514,"ng/g","ppb"
"51","MI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Mercury",168,"ng/g","ppb"
"52","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",154,"ng/g","ppb"
"53","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",58.5,"ng/g","ppb"
"54","MI","Lake Michigan","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",133,"ng/g","ppb"
"55","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",107,"ng/g","ppb"
"56","MI","Lake Michigan","Perca flavescens","Yellow perch","Percidae","P","Mercury",131,"ng/g","ppb"
"57","MI","Lake Huron","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",130,"ng/g","ppb"
"58","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",97.2,"ng/g","ppb"
"59","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Mercury",119,"ng/g","ppb"
"60","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",219,"ng/g","ppb"
"61","MI","Lake Huron","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",51.4,"ng/g","ppb"
"62","MI","Lake Huron","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",41,"ng/g","ppb"
"63","MI","Lake Huron","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",99.3,"ng/g","ppb"
"64","MI","Lake Huron","Perca flavescens","Yellow perch","Percidae","P","Mercury",138,"ng/g","ppb"
"65","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","Mercury",323,"ng/g","ppb"
"66","MI","Lake Huron","Perca flavescens","Yellow perch","Percidae","P","Mercury",201,"ng/g","ppb"
"67","MI","Lake Huron","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",557,"ng/g","ppb"
"68","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",384,"ng/g","ppb"
"69","MI","Lake Huron","Perca flavescens","Yellow perch","Percidae","P","Mercury",58.1,"ng/g","ppb"
"70","MI","Lake Huron","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Mercury",141,"ng/g","ppb"
"71","MI","Lake Huron","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",37.5,"ng/g","ppb"
"72","MI","Lake Huron","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Mercury",49.2,"ng/g","ppb"
"73","MI","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",420,"ng/g","ppb"
"74","MI","Lake Erie","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Mercury",72.1,"ng/g","ppb"
"75","MN","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",101,"ng/g","ppb"
"76","MN","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",51.2,"ng/g","ppb"
"77","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",424,"ng/g","ppb"
"78","MN","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",134,"ng/g","ppb"
"79","MN","Lake Superior","Sander vitreus","Walleye","Percidae","P","Mercury",238,"ng/g","ppb"
"80","MN","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",26.3,"ng/g","ppb"
"81","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",329,"ng/g","ppb"
"82","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",309,"ng/g","ppb"
"83","NY","Lake Erie","Sander vitreus","Walleye","Percidae","P","Mercury",221,"ng/g","ppb"
"84","NY","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",144,"ng/g","ppb"
"85","NY","Lake Ontario","Morone americana","White perch","Moronidae","P","Mercury",463,"ng/g","ppb"
"86","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Mercury",297,"ng/g","ppb"
"87","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",104,"ng/g","ppb"
"88","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",191,"ng/g","ppb"
"89","NY","Lake Ontario","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Mercury",132,"ng/g","ppb"
"90","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",388,"ng/g","ppb"
"91","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",122,"ng/g","ppb"
"92","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",140,"ng/g","ppb"
"93","NY","Lake Ontario","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Mercury",140,"ng/g","ppb"
"94","NY","Lake Ontario","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Mercury",144,"ng/g","ppb"
"95","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",207,"ng/g","ppb"
"96","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",199,"ng/g","ppb"
"97","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",208,"ng/g","ppb"
"98","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",533,"ng/g","ppb"
"99","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",162,"ng/g","ppb"
"100","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",131,"ng/g","ppb"
"101","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",310,"ng/g","ppb"
"102","NY","Lake Erie","Morone chrysops","White bass","Moronidae","P","Mercury",106,"ng/g","ppb"
"103","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",406,"ng/g","ppb"
"104","NY","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",163,"ng/g","ppb"
"105","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",130,"ng/g","ppb"
"106","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",123,"ng/g","ppb"
"107","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",157,"ng/g","ppb"
"108","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Mercury",131,"ng/g","ppb"
"109","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",90.1,"ng/g","ppb"
"110","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",189,"ng/g","ppb"
"111","NY","Lake Ontario","Salmo trutta","Brown trout","Salmonidae","P","Mercury",129,"ng/g","ppb"
"112","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",178,"ng/g","ppb"
"113","NY","Lake Ontario","Salmo trutta","Brown trout","Salmonidae","P","Mercury",406,"ng/g","ppb"
"114","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",191,"ng/g","ppb"
"115","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",162,"ng/g","ppb"
"116","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",214,"ng/g","ppb"
"117","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Mercury",162,"ng/g","ppb"
"118","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Mercury",383,"ng/g","ppb"
"119","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Mercury",140,"ng/g","ppb"
"120","NY","Lake Ontario","Esox lucius","Northern pike","Esocidae","P","Mercury",176,"ng/g","ppb"
"121","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Mercury",205,"ng/g","ppb"
"122","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",44.6,"ng/g","ppb"
"123","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",47.6,"ng/g","ppb"
"124","OH","Lake Erie","Morone chrysops","White bass","Moronidae","P","Mercury",114,"ng/g","ppb"
"125","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",99.6,"ng/g","ppb"
"126","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",43.4,"ng/g","ppb"
"127","OH","Lake Erie","Morone americana","White perch","Moronidae","P","Mercury",59.3,"ng/g","ppb"
"128","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",56.1,"ng/g","ppb"
"129","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",160,"ng/g","ppb"
"130","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",68.3,"ng/g","ppb"
"131","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",113,"ng/g","ppb"
"132","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",56.3,"ng/g","ppb"
"133","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",51.8,"ng/g","ppb"
"134","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",47.7,"ng/g","ppb"
"135","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",145,"ng/g","ppb"
"136","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",62.6,"ng/g","ppb"
"137","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Mercury",57.8,"ng/g","ppb"
"138","OH","Lake Erie","Morone chrysops","White bass","Moronidae","P","Mercury",118,"ng/g","ppb"
"139","PA","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",89.7,"ng/g","ppb"
"140","PA","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Mercury",237,"ng/g","ppb"
"141","WI","Lake Michigan","Lota lota","Burbot","Gadidae","BD","Mercury",190,"ng/g","ppb"
"142","WI","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","Mercury",131,"ng/g","ppb"
"143","WI","Lake Michigan","Lota lota","Burbot","Gadidae","BD","Mercury",134,"ng/g","ppb"
"144","WI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Mercury",366,"ng/g","ppb"
"145","WI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",73,"ng/g","ppb"
"146","WI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",39.5,"ng/g","ppb"
"147","WI","Lake Superior","Coregonus clupeaformis","Lake whitefish","Salmonidae","BD","Mercury",56.6,"ng/g","ppb"
"148","WI","Lake Superior","Salmo trutta","Brown trout","Salmonidae","P","Mercury",123,"ng/g","ppb"
"149","WI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",113,"ng/g","ppb"
"150","WI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",57.2,"ng/g","ppb"
"151","WI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Mercury",117,"ng/g","ppb"
"152","WI","Lake Michigan","Sander vitreus","Walleye","Percidae","P","Mercury",502,"ng/g","ppb"
