EPA Region,State,Lake Name,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,EPA HH Screening Value,Over EPA HH SV?,"GL HH
1 Meal/Mo Screening Value","Over GL HH
1 Meal/Mo SV?","GL HH
1 Meal/Wk Screening Value","Over GL HH
1 Meal/Wk SV?",Unit 1,Unit 2,MDL,QL
5,MI,Lake Huron,NCCAGL10-1107,560328,560328.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,245.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1108,560043,560043.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,262.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1110,560326,560326.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Mercury,7439-97-6,77.7,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1113,560069,560069.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,154.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1115,560047,560047.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,285.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1116,560070,560070.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,259.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1120,560014,560014.1,Salmo trutta,Brown trout,Salmonidae,P,Mercury,7439-97-6,103.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1121,560094,560094.1,Aplodinotus grunniens,Freshwater drum,Sciaenidae,P,Mercury,7439-97-6,599.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1122,560301,560301.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Mercury,7439-97-6,105.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1124,560061,560061.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,123.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1125,560325,560325.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Mercury,7439-97-6,89.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1126,560068,560068.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,100.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1127,560082,560082.1,Oncorhynchus mykiss,Rainbow trout,Salmonidae,P,Mercury,7439-97-6,114.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1130,560331,560331.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,188.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-1131,560320,560320.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,280.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Erie,NCCAGL10-1140,560003,560003.1,Morone americana,White perch,Moronidae,P,Mercury,7439-97-6,140.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Erie,NCCAGL10-1148,560017,560017.1,Morone americana,White perch,Moronidae,P,Mercury,7439-97-6,128.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Erie,NCCAGL10-1168,560022,560022.1,Morone americana,White perch,Moronidae,P,Mercury,7439-97-6,142.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MI,Lake Huron,NCCAGL10-2093,560329,560329.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,149.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MN,Lake Superior,NCCAGL10-1001,560194,560194.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,65.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MN,Lake Superior,NCCAGL10-1002,560188,560188.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,113.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MN,Lake Superior,NCCAGL10-1011,560191,560191.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,216.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
5,MN,Lake Superior,NCCAGL10-1029,560196,560196.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,73.4,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MN,Lake Superior,NCCAGL10-1031,560195,560195.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,57.4,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MN,Lake Superior,NCCAGL10-1039,560197,560197.1,Prosopium cylindraceum,Round whitefish,Salmonidae,BD,Mercury,7439-97-6,22.8,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
5,MN,Lake Superior,NCCAGL10-2005,560184,560184.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,104.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
2,NY,Lake Erie,NCCAGL10-1138,560132,560132.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,98.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
2,NY,Lake Erie,NCCAGL10-1139,560147,560147.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,111.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Erie,NCCAGL10-1142,560130,560130.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,151.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Erie,NCCAGL10-1152,560138,560138.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,121.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Erie,NCCAGL10-1155,560140,560140.1,Perca flavescens,Yellow perch,Percidae,P,Mercury,7439-97-6,128.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Erie,NCCAGL10-1170,560133,560133.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,96.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
2,NY,Lake Erie,NCCAGL10-1175,560129,560129.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,263.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1181,560044,560044.1,Esox niger,Chain pickerel,Esocidae,P,Mercury,7439-97-6,607.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1182,560033,560033.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,150.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1183,560223,560223.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,166.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1185,560222,560222.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,139.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1188,560109,560109.1,Sander vitreus,Walleye,Percidae,P,Mercury,7439-97-6,505.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1189,560154,560154.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,156.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1190,560260,560260.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,338.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1191,560161,560161.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,403.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1192,560113,560113.2,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,133.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1193,560259,560259.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,188.0,300,Does not exceed SV,220,Does Not Exceed SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1195,560218,560218.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,356.0,300,Exceeds SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1196,560216,560216.1,Micropterus dolomieu,Smallmouth bass,Centrarchidae,P,Mercury,7439-97-6,248.0,300,Does not exceed SV,220,Exceeds SV,110,Exceeds SV,ng/g,ppb,0.20,0.80
2,NY,Lake Ontario,NCCAGL10-1200,560155,560155.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,48.4,300,Does not exceed SV,220,Does Not Exceed SV,110,Does Not Exceed SV,ng/g,ppb,0.20,0.80
