EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL
5,MI,Lake Superior,GLNS15-1345,795334,795334.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,196.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1346,806934,806934.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,51.6,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-1347,779974,779974.1,Oncorhynchus tshawytscha,Chinook salmon,Salmonidae,P,Mercury,7439-97-6,144.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2001,776534,776534.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,118.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2002,778514,778514.2,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,112.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2003,807174,807174.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,28.7,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2005,778554,778554.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Mercury,7439-97-6,131.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2006,780154,780154.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,49.4,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2007,794954,794954.2,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,88.7,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2009,806994,806994.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,54.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2011,794934,794934.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,194.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2013,806794,806794.1,Catostomus catostomus,Longnose sucker,Catostomidae,BD,Mercury,7439-97-6,132.0,ng/g,ppb,0.05,0.8
5,MI,Lake Superior,GLNS15-2025,780014,780014.1,Coregonus clupeaformis,Lake whitefish,Salmonidae,BD,Mercury,7439-97-6,49.2,ng/g,ppb,0.05,0.8
